Año;Trimestre;Total;Bco;Uss;Time Prom;MM Tran. Monetarias
2012;1;61413;8021;53392;9;104319280
2012;2;57053;7637;49416;8;108778622
2012;3;70068;9816;60252;8;118232595
2012;4;73448;9373;64075;9;122899700
2013;1;80202;9081;71121;9;121930064
2013;2;94660;16802;77858;9;127718920
2013;3;101353;20759;80594;9;131924624
2013;4;92833;19398;73435;9;136564393
2014;1;92436;18792;73644;9;132376094
2014;2;82977;19066;63911;11;134940473
2014;3;90274;21824;68450;13;142684570
2014;4;86671;21568;65103;13;146324319
2015;1;101261;27295;73966;13;134839361
2015;2;108640;32497;76143;11;137972938
2015;3;118820;35160;83660;9;145550100
2015;4;123092;44405;78687;11;151705548
2016;1;121739;40784;80955;7;143392984
2016;2;122238;41505;80733;8;148920318
2016;3;116376;35660;80716;9;157425486
2016;4;118693;34127;84566;8;165810548
2017;1;114378;34556;79822;7;157549708
2017;2;107628;39303;68325;7;163310934
2017;3;120888;41398;79490;6;176928651
2017;4;112829;41399;71430;4;183923541
2018;1;116065;42851;73214;3;184635685
2018;2;130189;47727;82462;4;195459658
2018;3;140327;56209;84118;3;205123088
2018;4;125875;36873;89002;6;227671633
2019;1;135319;29189;106130;8;224968648
2019;2;150226;29150;121076;7;236164003
2019;3;178998;34500;144498;6;253562713
2019;4;209474;56583;152891;6;254232297
2020;1;217142;57649;159493;6;251213206
2020;2;215797;57360;158437;6;174547324
